title,reg_number,id
Convention (No. 79) concerning restriction of night work of children and young persons in non-industrial occupations,1019,296
Convention on foreign exchange control,1019,297
Interpretation of the above-mentioned Convention (Note by the Secretariat),1019,298
"Exchange of notes constituting an agreement concerning studies by experts to facilitate planning for the development of electrical services on the Argentine littoral.  Buenos Aires, 19 May 1969",10190,299
"Exchange of notes constituting an agreement to co-ordinate policies and views on the marketing of meat.  Buenos Aires, 19 and 27 June 1969",10191,300
"Exchange of notes constituting an agreement extending a credit to the Uruguayan Government for the supply of Argentine beef.  Buenos Aires, 18 September 1969",10192,301
"Agreement for the regulation, channelling, dredging, buoyage and maintenance of the River Paraguay.",10193,302
Agreement concerning films and film production. ,10194,303
"Agreement concerning financial assistance for the general survey of the Ibera system in the River Plate Basin.  Buenos Aires, 23 October 1969",10195,304
"Exchange of letters constituting an agreement concerning the implementation of the Netherlands Volunteer Programme in India.  New Delhi, 27 July 1965",10196,305
Convention for the avoidance of double taxation and the prevention of fiscal evasion with respect to taxes on income and capital. ,10197,306
"Loan Agreement--Dez Irrigation Project-Stage 1 (with annexed Loan Regulations No 3, as amended). ",10198,307
Exchange of notes amending the Air Transport Agreement between the Government of the Republic of the Philippines and the Government of the Republic of Korea,10199,308
Air Transport Agreement,10199,309
Convention on International Civil Aviation,102,310
Cooperation Agreement,1020,311
Protocol relating to trade during the period 1 November 1951 to 31 October 1952,1020,312
Agreement regarding a Danish Government loan (with annex and exchange of letters). ,10200,313
"Agreement regarding a Danish Government loan (with annex, exchange of letters and memorandum). ",10201,314
Standard Agreement on operational assistance.  Signed at New York on 15 January 1970,10202,315
"Agreement with a view to the use, maintenance, administration and disposal of property and facilities. ",10203,316
Consular Convention. ,10204,317
Agreement concerning international road transport. ,10205,318
Trade and Economic Agreement (with annexed schedules and protocol).  ,10206,319
Agreement concerning international road transport. ,10207,320
Long-term Trade Agreement (with annexed schedules). ,10208,321
Agreement concerning cultural and scientific co-operation. ,10209,322
Convention on the Prevention and Punishment of the Crime of Genocide,1021,323
Technical Assistance Financing Agreement--Food Grains Research and Development Program: Farming System Research,1021,324
Trade Arrangement. ,10210,325
Agreement concerning cultural co-operation. ,10211,326
Convention concerning co-operation in the matter of plant protection and quarantine,10213,327
"Loan Agreement--Education Project (with annexed Loan Regulations No.3, as amended). ",10214,328
"Development Credit Agreement--Telecommunications Project (with annexed Credit Regulations No.1, as amended, and Project Agreement between the Association and the Office des Postes et tÂ©lÂ©communications de Haute-Volta). ",10215,329
"Development Credit Agreement--Hinvi Agricultural Development Project (with annexed Credit Regulations No. 1, as amended, and Project Agreement between the Association and the SociÂ©tÂ© nationale pour le dÂ©veloppement rural du Dahomey). ",10216,330
Memorandum of Understanding concerning the Hinvi Agricultural Development Project. ,10217,331
"Development Credit Agreement--Coffee Improvement Project (with annexed Credit Regulations No.1, as amended). ",10218,332
Guarantee Agreement--Finchaa Hydroelectric Project (with annexed General Conditions Applicable to Loan and Guarantee Agreements and Loan Agreement between the Bank and the Ethiopian Electric Light and Power Authority). ,10219,333
Loan Agreement--Rural Credit Project,1022,334
Letter of Amendment to the Loan Agreement (Rural Credit Project) between the Kingdom of Tonga and the International Fund for Agricultural Development,1022,335
Trade Agreement between the Royal Government of Denmark and the Royal Government of Greece,1022,336
"Guarantee Agreement--Power Transmission and Distribution Project (with annexed Loan Regulations No. 4, as amended, and Loan Agreement between the Bank and Trinidad and Tobago Electricity Commission). ",10220,337
Loan Agreement--Third Highway Project (with annexed General Conditions Applicable to Loan and Guarantee Agreements). ,10221,338
"Guarantee Agreement--Pumped Storage Power Project (with annexed Loan Regulations No. 4, as amended, and Loan Agreement between the Bank and the Electricity Supply Board). ",10222,339
Development Credit Agreement--Highway Project (with annexed General Conditions Applicable to Development Credit Agreement). ,10223,340
"Development Credit Agreement--Second Education Project (with annexed Credit Regulations No.1, as amended). ",10224,341
Loan Agreement--Third Livestock Project (with annexed General Conditions Applicable to Loan and Guarantee Agreements). ,10225,342
Development Credit Agreement--Third Livestock Project (with annexed General Conditions Applicable to Development Credit Agreements). ,10226,343
Development Credit Agreement--Third Agricultural Development Bank Project (with annexed General Conditions Applicable to Development Credit Agreements and Project Agreement between theAssociation and the Agricultural Development Bank of Pakistan). ,10227,344
Cultural Agreement between France and Brazil,10228,345
"Exchange of letters constituting an agreement concerning privileges accorded in Brazil to French personnel engaged in co-operation programmes.  Rio de Janeiro, 16 and 22 January 1963",10229,346
Basic Cooperation Agreement,1023,347
Additional Protocol to the Payments Agreement between the Royal Government of Denmark and the Royal Government of Greece,1023,348
Payments Agreement between the Royal Government of Denmark and the Royal Government of Greece,1023,349
Agreement on technical and scientific co-operation between the Government of the French Republic and the Government of the United States of Brazil,10230,350
Amendment amending the above-mentioned agreement.  Signed at Brasilia on 10 March 1982,10230,351
"Exchange of letters constituting an agreement concerning the installation of a telemetry station at Forlateza.  Rio de Janeiro, 20 June 1968",10231,352
Agreement establishing the Caribbean Development Bank,10232,353
"Exchange of letters constituting an agreement supplementing and modifying annexes A and B of the above-mentioned Convention.  Paris, 6 May 1969 and 13 February 1970",10233,354
"Convention on the protection of appellations of origin, indications of source and designations of certain products (with protocol and annexes). ",10233,355
"Exchange of notes constituting a general fisheries agreement.  Paris, 20 March 1967",10234,356
"Development Credit Agreement--Second ENDE Power Project (with annexed Credit Regulations No.1, as amended, and Project Agreement between the Association and the Empresa Nacional de Electricidad S.A.). ",10235,357
Agreement for co-operation in the peaceful uses of atomic energy.  Signed at Santiago on 18 November 1968,10236,358
"Exchange of notes constituting an agreement concerning financial assistance by the United Kingdom to Nepal towards the construction of a secondary school for boys--United Kingdom/Nepal 1969 (No. 2) Financial Agreement.  Kathmandu, 8 August 1969",10237,359
"Exchange of notes constituting an agreement amending the above-mentioned Agreement.  Katmandu, 25 April 1972 and 2 January 1973",10237,360
"Exchange of notes constituting an agreement concerning the participation of the United Kingdom in the Foreign Exchange Operations Fund for Laos.  Vientiane, 9 August 1969",10238,361
"Exchange of notes constituting an agreement relating to cereals.  London, 12 August 1969",10239,362
Trade Agreement between Denmark and Italy,1024,363
Guarantee Agreement--Taegu Urban Transport Project,1024,364
"Exchange of letters constituting an agreement prolonging with modifications the above-mentioned Agreement.  Gaborone, 14 September 1971",10240,365
"Exchange of letters constituting an agreement concerning the guarantee by the United Kingdom and the maintenance of reserves in sterling by the Government of Botswana.  Gaborone, 1 September 1969",10240,366
Agreement for offsetting the foreign exchange expenditure on British Forces in the Federal Republic of Germany. ,10241,367
"Protocol concerning the return of 6 Brigade to the Federal Republic of Germany and supplementing the above-mentioned Agreement.  Bonn, 25 September 1970",10241,368
"Exchange of notes constituting an agreement concerning an interest-free development loan by the Government of the United Kingdom of Great Britain and Northern Ireland to the Government of the Republic of Turkey--United Kingdom/Turkey Loan No. 2, 1969.  Ankara, 15 September 1969",10242,369
"Exchange of notes constituting an agreement concerning the reciprocal payment of social security pensions.  London, 23 and 25 September 1969",10243,370
Tax Agreement (with protocol and exchange of letters). ,10244,371
"Exchange of letters constituting an agreement between the United Nations and Mauritius for the application as between the United Nations and the Government of Mauritius of the Agreement of 8 July 1960 between the United Nations and the Government of the United Kingdom of Great Britain and Northern Ireland for the provision of technical assistance to the Trust, Non-Self-Governing and other Territories for whose international relations the Government of the United Kingdom is responsible",10245,372
"Exchange of letters constituting an agreement for the application as between the United Nations Development Programme (Special Fund) and the Government of Mauritius of the Agreement of 7 January 1960 between the Government of the United Kingdom of Great Britain and Northern Ireland and the United Nations Special Fund concerning assistance from the Special Fund.  New York, 28 May 1968, and Port-Louis, 29 August 1969",10247,373
"Exchange of notes constituting an agreement relative to extending free entry privileges in the Philippines to dependents of United States personnel assigned to South Viet-Nam.  Manila, 14 and 28 May1965",10248,374
Agreement for sales of agricultural commodities. ,10249,375
"Exchange of notes constituting an agreement amending the above-mentioned Agreement.  Santo Domingo, 9 and 10 May 1968",10249,376
Payments Agreement between Denmark and Italy,1025,377
Agreement on co-operation,1025,378
Agreement for sales of agricultural commodities. ,10250,379
Agreement for sales of agricultural commodities. ,10251,380
Amendment No. 1 to the above-mentioned Agreement. ,10251,381
"Exchange of letters constituting an agreement modifying the above-mentioned Agreement, as amended.  Santo Domingo, 23 June 1969 and 24 June 1970",10251,382
"Exchange of notes constituting an agreement for the expansion of economic relations between the tow countries.  Washington, 15 July 1968",10252,383
"Agreement for duty-free entry and defrayment of inland transportation charges of voluntary agency supplies and equipment.  New Delhi, 5 December 1968",10253,384
Agreement for sales of agricultural commodities. ,10254,385
Agreement for sales of agricultural commodities. ,10255,386
"Exchange of notes constituting an agreement for the transfer of the vessel the USS Geronimo to the Navy of the Republic of China.  Taipei, 12 and 16 December 1968",10256,387
"Exchange of notes constituting an agreement for the continuation of the cooperative program for the operation of a rawinsonde observation station at Bogota and a similar station on San AndrÂ©s Island.  Bogota, 19 December 1968",10257,388
"Exchange of notes constituting an agreement amending and extending the above-mentioned Agreement.  Washington, 15 June 1972",10258,389
"Exchange of notes constituting an agreement on cooperative research in remote sensing for earth surveys.  Mexico and Tlatelolco, 20 December 1968",10258,390
"Exchange of notes constituting an agreement amending the above-mentioned Agreement.  New Delhi, 29 May 1969",10259,391
Fourth Supplementary Agreement for sales of agricultural commodities. ,10259,392
Exchange of notes constituting an agreement between Belgium and France concerning the entry into France and Algeria of Belgian nationals resident in Switzerland,1026,393
Agreement on technical co-operation for the implementation of a research project on industrial complementarity,1026,394
"Exchange of letters constituting an arrangement concerning trade in cotton textiles (with schedule).  Singapore, 17 and 23 December 1968",10260,395
Agreement for sales of agricultural commodities. ,10261,396
Fifth Supplementary Agreement for sales of agricultural commodities. ,10262,397
Agreement for sales of agricultural commodities. ,10263,398
"Exchange of notes constituting an agreement for scientific and scholarly cooperation.  Taipei, 23 January 1969",10264,399
"Exchange of notes constituting an agreement regarding the application of safeguards by the United States to natural uranium transferred from Canada.  Washington, 28 and 30 January 1969",10265,400
"Exchange of notes constituting an agreement amending the above-mentioned Agreement.  Conakry, 23 and 28 October 1969",10266,401
Agreement for sales of agricultural commodities.,10266,402
Agreement for sales of agricultural commodities. ,10267,403
"Exchange of notes constituting an agreement amending the above-mentioned Agreement.  Ankara, 22 and 24 July 1969",10267,404
Agreement for sales of agricultural commodities.,10268,405
"Exchange of notes constituting an agreement modifying the above-mentioned Agreement.  Rabat, 13 September 1969",10268,406
"Exchange of notes constituting an agreement amending and extending the above-mentioned Agreement, as amended and extended.  Prague, 28 May 1974",10269,407
"Exchange of notes constituting an agreement amending and extending the above-mentioned Agreement, as amended and extended.  Prague, 12 May and 7 November 1980",10269,409
"Agreement between the United States of America and the Czechoslovak Socialist Republic extending the Air Transport Agreement of February 28, 1969, as amended and extended",10269,410
"Exchange of notes constituting an agreement amending and extending the above-mentioned Agreement, as amended and extended",10269,411
"Agreement between the United States of America and the Czechoslovak Socialist Republic extending the air transport agreement of February 28, 1969, as amended and extended",10269,412
"Agreement between the United States of America and the Czechoslovak Socialist Republic extending the Air Transport Agreement of 28 February 1969, as amended and extended",10269,413
"Agreement between the United States of America and the Czechoslovak Socialist Republic amending and extending the Agreement of February 28, 1969, as amended and extended, concerning air transport services",10269,414
"Exchange of notes constituting an agreement extending the above-mentioned Agreement, as amended and extended.  Prague, 17 June and 29 July 1975",10269,415
"Exchange of letters constituting an agreement extending the above-mentioned Agreement.  Prague, 25 and 28 April 1972",10269,416
"Exchange of notes constituting an agreement amending and extending the above-mentioned Agreement, as amended and extended.  Prague, 12 August 1977",10269,417
"Protocol modifying and extending the above-mentioned Agreement, as extended.",10269,418
Air Transport Agreement between the Government of the United States of America and the Government of the Czechoslovak Socialist Republic,10269,419
Executing Agency Agreement (with annexed model of Standard Basic Assistance Agreement),1027,420
"Exchange of notes constituting an agreement for the construction of a temporary cofferdam at Niagara.  Washington, 21 March 1969",10270,421
"Exchange of notes constituting an agreement for the temporary diversion for power purpose of the water normally flowing over the American Falls at Niagara.  Washington, 21 March 1969",10271,422
"Exchange of notes constituting an agreement regarding the abolition, on a reciprocal basis, of certain visa fees.  Bucharest, 25 April 1969",10272,423
Agreement for sales of agricultural commodities (with annex and exchange of notes). ,10273,424
Agreement for sales of agricultural commodities. ,10274,425
"Exchange of notes constituting an agreement extending certain deadlines specified in the above-mentioned Agreement.  Moscow, 12 and 24 February 1971",10275,426
"Exchange of notes constituting an agreement extending certain deadlines specified in the above-mentioned Agreement.  Moscow, 17 and 19 September 1969",10275,427
"Exchange of notes constituting an agreement extending certain deadlines specified in the above-mentioned Agreement.  Moscou, 19 and 26 November 1969",10275,428
"Exchange of notes constituting an agreement extending certain deadlines specified in the above-mentioned Agreement, as amended.  Moscow, 13 and 23 April 1970",10275,429
"Agreement on the reciprocal allocation for use free of charge of plots of land in Moscow and Washington (with annexes, maps and exchange of notes). ",10275,430
Agreement for sales of agricultural commodities.,10276,431
"Exchange of notes constituting an agreement for the reciprocal granting of authorizations to permit licensed amatuer radio operators of either country to operate their stations in the other country.  Stockholm, 27 May and 2 June 1969",10277,432
Agreement on cultural and scientific co-operation. ,10278,433
Agreement on economic and technical co-operation during the period 1967-1972. ,10279,434
Monetary Agreement between the Government of Denmark and the Government of the United Kingdom of Great Britain and Northern Ireland,1028,435
Agreement for co-operation,1028,436
Exchange of notes constituting an agreement prolonging the Monetary Agreement between the Government of Denmark and the Government of the United Kingdom of Great Britain and Northern Ireland,1028,437
Trade Agreement. ,10280,438
Agreement on cultural and scientific co-operation. ,10281,439
Agreement on cultural and scientific exchanges between the Government of the United Mexican States and the Government of the Union of Soviet Socialist Republics ,10282,440
Agreement on cultural and scientific co-operation. ,10283,441
"Development Credit Agreement--Detailed Engineering and Accounting Assistance Project (with annexed Development Credit Regulations No. 1, as amended). ",10284,442
Development Credit Agreement--Highway Engineering Project (with annexed General Conditions Applicable to Development Credit Agreements). ,10285,443
"Guarantee Agreement--Railway Project (with annexed General Conditions Applicable to Loan and Guarantee Agreements, and Loan Agreement between the Bank and the SociÂ©tÂ© nationale des chemins de fer tunisiens). ",10286,444
Development Credit Agreement--Railway Project (with annexed General Conditions Applicable to Development Credit Agreements). ,10287,445
"Loan Agreement--Education Project (with annexed Loan Regulations No. 3, as amended). ",10288,446
"Guarantee Agreement--Livestock and Agricultural Development Project (with annexed General Conditions Applicable to Loan and Guarantee Agreements, Loan Agreement between the Bank and the Nacional Financiera S.A., and Project Agreement between the Bank and the Banco de Mexico S.A.). ",10289,447
Exchange of notes constituting an agreement between the Netherlands and the United States of America relating to the obligations arising from the utilization of credit balances allotted to the Netherlands within the terms of article 10 of the Agreement onthe establishment of a European Payments Union of 19 September 1950,1029,448
Agreement on the establishment of the Centro Internacional de Agricultura Tropical,1029,449
Loan Agreement--Second Road Project (with annexed General Conditions Applicable to Loan and Guarantee Agreements). ,10290,450
Development Credit Agreement--Highway Engineering Project (with annexed General Conditions Applicable to Development Credit Agreements). ,10291,451
Treaty of friendship and co-operation. ,10292,452
Cultural Agreement. ,10293,453
Agreement concerning postal service and telecommunications. ,10294,454
Agreement regulating the transport of goods and passengers by road between the two countries and in transit through their territories. ,10295,455
Agreement on co-operation in the field of tourism. ,10296,456
"Exchange of notes constituting an agreement prolonging the validity of the above-mentioned Agreement.  Sofia, 29 and 30 May 1968",10296,457
"Agreement concerning co-operation in the field of tourism, prolonging and supplementing the above-mentioned Agreement.",10296,458
Agreement concerning the establishment of a direct airway connecting Sofia and Athens. ,10297,459
Air Transport Agreement. ,10298,460
Agreement on co-operation in the field of tourism between the two countries. ,10299,461
Agreement of co-operation between the United Nations and the League of Arab States,1030,462
Agreement respecting military assistance between the Government of Thailand and the Government of the United States of America,1030,463
Exchange of notes constituting an agreement relating to the disposition of surplus equipment and materials furnished under the Agreement respecting military assistance between the Government of Thailand and the Government of the United States of America,1030,464
Agreement concerning the abolition of visas and the development of tourism. ,10300,465
Agreement concerning the establishment of a non-visa system. ,10301,466
Agreement concerning the abolition of visas. ,10302,467
Agreement concerning international road transport. ,10303,468
Agreement concerning the abolition of visas. ,10304,469
"Exchange of letters constituting an agreement concerning the facilitation of travel between their respective territories.  Rome and San Marino, 12 June 1969",10305,470
Agreement concerning the Social Security of Rhine Boatmen (revised),10306,471
"Agreement concerning the establishment of an office of the Organisation in the City of San JosÂ©, Costa Rica. ",10307,472
"Guarantee Agreement--Fifth Development Finance Corporation Project (with annexed General Conditions Applicable to Loan and Guarantee Agreements, and Loan Agreement between the Bank and the Industrial and Mining Development Bank of Iran). ",10308,473
Loan Agreement--Cyprus Ports Project (with annexed General Conditions Applicable to Loan and Guarantee Agreements). ,10309,474
Agreement on co-operation (with Protocol of 5 and 30 October 1989 regarding the entry into force of the Agreement),1031,475
"Executive Agreement between the President of the Republic of Korea and the Commanding General, United States Army Forces In Korea,  concerning interim military and security matters during the transitional period",1031,476
"Loan Agreement--Livestock Development Project (with annexed General Conditions Applicable to Loan and Guarantee Agreements, and Project Agreement between the Bank and theZambia Cattle Development Limited). ",10310,477
Loan Agreement--Fourth Highway Project (with annexed General Conditions Applicable to Loan and Guarantee Agreements). ,10311,478
Agreement concerning the headquarters of the African and Malagasy Coffee Organization and its privileges and immunities in French territory. ,10312,479
Agreement concerning the admission of student employees. ,10313,480
Convention concerning the employment and residence in Belgium of Algerian workers and their families. ,10314,481
Tax Agreement (with protocol and exchange of letters). ,10315,482
Protocol concerning cultural co-operation (with annexes and exchanges of letters). ,10316,483
Protocol concerning technical co-operation. ,10317,484
"Exchange of letters constituting a technical co-operation agreement.  Addis Ababa, 9 and 10 July 1969",10318,485
Protocol concerning the return to France of the remains of French servicemen and war victims who died and were buried in the USSR as a result of or following the Second World War. ,10319,486
Exchange of notes constituting an agreement between the United States of America and Italy relating to the duty-free entry and payment of transportation costs of relief supplies and packages for Italy,1032,487
Relationship Agreement,1032,488
"Treaty concerning legal assistance in civil, family and criminal cases. ",10320,489
Protocol amending the above-mentioned Convention. ,10321,490
Protocol amending the above-mentioned Convention.  Signed at London on 26 September 1991,10321,492
Protocol further amending the above-mentioned Convention.,10321,493
Convention for the avoidance of double taxation and the prevention of fiscal evasion with respect to taxes on income and capital,10321,494
"Protocol amending the Convention of 17 July 1969, as amended",10321,495
"Protocol amending the above-mentioned Convention, as amended",10321,496
European Agreement on the instruction and education of nurses,10322,497
Protocol concerning the taxation of road traffic crossing the frontier between the Republic of Austria and the Principality of Liechtenstein. ,10323,498
Investment Guaranty Agreement (with related notes). ,10324,499
Convention with respect to taxes on income and property,10325,500
"Protocol amending the Convention of 28 July 1967, as amended",10325,501
"Amendment to the above-mentioned Convention, as amended",10325,502
"Protocol amending the above-mentioned Convention, as amended",10325,503
Protocol amending the above-mentioned Convention. ,10325,504
Agreement for sales of agricultural commodities.,10326,505
Agreement for sales of agricultural commodities.,10327,506
Memorandum of Understanding for scientific and technical co-operation in the field of water resources. ,10328,507
"Exchange of notes constituting an agreement relating to the reciprocal granting of authorizations to permit licensed amateur radio operators of either country to operate their stations in the other country.  Monaco, 29 March 1968, and Paris, 16 October 1968",10329,508
Agreement concerning the international laboratory of marine radioactivity and the privileges and immunities of the Agency within the Principality,1033,509
Exchange of notes constituting an agreement between the United States of America and the United States/United Kingdom Occupied areas in Germany  relating to the duty-free entry and payment of transportation costs of relief supplies and packages for the United States/United Kingdom occupied areas of Germany,1033,510
"Exchange of notes constituting an agreement concerning the provision by the United States Government to the Republic of Indonesia of basic pilot training aircraft.  Djakarta, 9 and 17 April 1969",10330,511
"Exchange of notes constituting an agreement extending the time period provided for by article I (2) of the above-mentioned Agreement.  Tokyo, 18 April 1975",10331,512
"Exchange of notes constituting an agreement relating to the exchange of notes of 13 March 1973implementing article I (3) of the above-mentioned Agreement.  Tokyo, 18 April 1975",10331,513
Agreement concerning the Trust Territory of the Pacific Islands.  Signed at Tokyo on 18 April 1969,10331,514
"Exchange of notes constituting an agreement implementing article I, paragraph 3, of the above-mentioned Agreement.  Washington, 13 March 1973",10331,515
"Exchange of notes constituting an agreement for the deployment of the USS Yosemite and the USS Grand Canyon to Malta.  Valletta, 6 and 18 June 1969",10332,516
Agreement for sales of agricultural commodities. ,10333,517
"Exchange of notes constituting an agreement for the extensions of the loans of the vessels USS Benson,        USS Hilary P. Jones and USS Plunkett to the Republic of China.  Taipei, 11 and 18 June 1969",10334,518
"Exchange of notes constituting an agreement extending the Agreement of 13 June 1970 amending and extending the above-mentioned Agreement of 12 June 1969.  Warsaw, 1 October 1971",10335,519
Agreement regarding fisheries in the western region of the Middle Atlantic Ocean. ,10335,520
"Exchange of notes constituting an understanding for the establishment of a sheme of joint enforcement regarding fisheries in the western region of the Middle Atlantic Ocean (with scheme of joint enforcement).  Washington, 5 October and 31 December 1971",10335,521
"Exchange of notes constituting an agreement extending the Agreement of 13 June 1970 as extended, extending and amending the above-mentioned Agreement of 12 June 1969, and extending the Understanding of 5 October and 31 December 1971 for the establishment of a scheme of joint enforcement regarding fisheries in the Western Region of the Middle Atlantic Ocean.  Warsaw, 28 and 30 June 1972",10335,522
"Agreement regarding fisheries in the western region of the Middle Atlantic Ocean, amending and extending the above-mentioned Agreement. ",10335,523
Agreement for cooperation concerning civil uses of atomic energy. ,10336,524
Agreement for cooperation concerning civil uses of atomic energy. ,10337,525
Agreement for sales of agricultural commodities.,10338,526
"Exchange of notes constituting an agreement relating to the Peace Corps.  Port of Spain, 11 and 21 July 1969",10339,527
Agreement between the Government of the United States of America and the Government of Greece for duty-free entry and free inland transportation of relief supplies and packages from the United States of America to Greece,1034,528
Convention regulating the conditions of a customs union and neighbourly relations,1034,529
"Exchange of notes constituting an agreement amending the Agreement between the Government of the United States of America and the Government of Greece for duty-free entry and free inland transportation of relief supplies and packages from the United States of America to Greece, as amended",1034,530
Investment Guaranty Agreement. ,10340,531
"Exchange of notes constituting an agreement concerning the operation of pilotage on the Great Lakes and the St Lawrence Seaway (with memorandum of arrangements).  Washington, 31 July 1969",10341,532
"Exchange of notes constituting an agreement concerning co-operation in space activities for peaceful purposes.  Tokyo, 31 July 1969",10342,533
"Understanding regarding the establishment and operation in the United States and Romania of an American and Romanian library, respectively.  Bucharest, 3 August 1969",10343,534
"Treaty of friendship, co-operation and mutual assistance.",10344,535
European Convention on compulsory insurance against civil liability in respect of motor vehicles,10345,536
European Convention on information on foreign law,10346,537
Additional Protocol to the European Convention on information on foreign law,10346,538
Agreement concerning international road transport. ,10347,539
Agreement concerning the establishment of an office of the Organization in Manila. ,10348,540
"Exchange of letters constituting an agreement concerning the status of the Professional Aviation School of Cap-Matifou.  Algiers, 22 April 1963",10349,541
Exchange of notes constituting an agreement between the United States of America and Austria relating to the duty-free entry and payment of transportation costs of relief supplies and packages for Austria,1035,542
Loan Agreement--Road Improvement Project,1035,543
"Exchange of letters constituting an agreement interpreting article 1 of the above-mentioned Agreement.  Paris, 6 May 1972",10350,544
Agreement concerning supplementary pension schemes. ,10350,545
"Protocol concerning the participation of France in the establishment, administration and operation of the    Algiers - Cap-Matifou National School of Engineers and Technicians. ",10351,546
Agreement concerning the encouragement and the reciprocal protection of investments (with protocol). ,10352,547
Agreement regarding a loan for the economic development of Cambodia (with annex and exchange of letters). ,10353,548
Agreement supplementing the Hague Convention of 1 March 1954 relating to civil procedure (relating to the law on civil procedure). ,10354,549
Convention (No. 127) concerning the maximum permissible weight to be carried by one worker,10355,550
Supplementary Convention regarding legal proceedings. ,10356,551
Loan Agreement -  Ninth Pakistan Railway Project  (with annexed General Conditions Applicable to Loan and Guarantee Agreements and Project Agreement between the Bank and the Province of West Pakistan). ,10357,552
Agreement on the abolition of visas requirement. ,10358,553
"Declaration recognizing as compulsory the jurisdiction of the International Court of Justice, in conformity with Article 36, paragraph 2, of the Statute of the International Court of Justice.  Gaborone, 14 January 1970",10359,554
Executing Agency Agreement,1036,555
Agreement between the United States of America and the British/United States zone of the free territory of Trieste for the free entry and free inland transportation of relief supplies and packages,1036,556
Exchange of notes constituting an agreement amending the Agreement between the United States of America and the British/United States zone of the free territory of Trieste for the free entry and free inland transportation of relief supplies and packages,1036,557
"Agreement relating to the seminar on the role of youth in the promotion and protection of human rights, to be held in Belgrade from 2 to 12 June 1970. ",10360,558
Protocol amending the above-mentioned Agreement. ,10361,559
Agreement on economic and technical co-operation (with annexed schedule). ,10361,560
Agreement on co-operation in the peaceful uses of atomic energy. ,10362,561
Agreement concerning the mutual abolition of visas for travel by nationals of the Czechoslovak Socialist Republic and nationals of the Union of Soviet Socialist Republics. ,10363,562
Trade Agreement (with annexed lists). ,10364,563
Defence Agreement. ,10365,564
Diplomatic Convention. ,10366,565
Legal Convention. ,10367,566
Agreement on cultural co-operation. ,10368,567
General Agreement on technical co-operation (with additional protocol and exchanges of letters). ,10369,568
"Exchange of notes constituting an agreement amending the above-mentioned Agreement, as amended. Rome, 17 June 1959",1037,569
"Exchange of notes constituting an agreement amending the above-mentioned Agreement, as amended.  Rome, 5 October 1966",1037,570
"Exchange of notes constituting an agreement amending the above-mentioned Agreement, as amended.  Rome, 12 October and 6 December 1967",1037,571
Exchange of notes constituting an agreement amending the Agreement between the Government of the United States of America and the Government of the Italian Republic for financing certain educational exchange programmes,1037,572
Executing Agency Agreement,1037,573
"Exchange of notes constituting an agreement modifying the Agreement between the Government of the United States of America and the Government of the Italian Republic for financing certain educational exchange programmes, as amended",1037,574
Convention of establishment. ,10370,575
Protocol concerning the application of chapter I of the above-mentioned Agreement. Signed at Paris on 10 July 1963,10371,576
"Agreement on co-operation in economic, monetary and financial matters (with annex and exchange of letters). ",10371,577
Convention concerning relations between the French Treasury and the Togolese Treasury and procedures for co-operation between the French Republic and the Togolese Republic with respect to the organization and operation of Treasury Services. ,10372,578
Protocol for the settlement of real property question (with annex and exchange of letters).  Signed at LomÂ© on 30 April 1968,10373,579
Protocol concerning the construction of an international motorway bridge over the Bidassoa in the vicinity of Biriatou. ,10374,580
"Convention concerning the construction of two international bridges over the Bidassoa, one between BÂ©hobie and Behobia and the other in the vicinity of Biriatou. ",10374,581
Convention on scientific and technical co-operation. ,10375,582
Convention concerning technical co-operation and cultural exchanges. ,10376,583
"Exchange of notes constituting an agreement relating to co-operation in consular matters.  Jerusalem, 14 February 1967, and Tel Aviv, 17 April 1967",10377,584
Cultural Agreement. ,10378,585
"Exchange of notes constituting an agreement relating to visas.  Port of Spain, 31 December 1968",10379,586
Exchange of notes constituting an agreement between the United States of America and Denmark relating to the exchange of official publications,1038,587
Agreement on cooperation,1038,588
Exchange of notes constituting an agreement amending the above-mentioned Agreement.  Tel Aviv and Jerusalem4 February 1969,10380,589
Extradition Agreement. ,10380,590
"Exchange of notes constituting an agreement for the avoidance of double taxation on income derived from the operation of ships or aircraft.  Montevideo, 7 January and 3 March 1969",10381,591
Agreement for co-operation in the field of tourism. ,10382,592
"Exchange of notes constituting an agreement relating to visas.  Athens, 14 and 26 February 1969",10383,593
"Exchange of notes constituting an agreement relating to the mutual issue of acts of civil status without exacting fees. Tel Aviv, 3 February 1969, and Jerusalem, 31 March 1969",10384,594
"Exchange of notes constituting an agreement relating to visas.  Port Louis, 15 May 1969",10385,595
Cultural Convention. ,10386,596
"Exchange of notes constituting an agreement relating to visas.  Bridgetown, 18 June 1969",10387,597
Agreement concerning the abolition of short-stay visas. ,10388,598
"Exchange of notes constituting an agreement relating to visas.  Manila, 10 December 1969",10389,599
Exchange of letters constituting an agreement recognizing the jurisdiction of the International Labour Organisation Administrative Tribunal by the United Nations Industrial Development Organization,1039,600
Exchange of notes constituting an agreement amending the Agreement between the Government of the United States of America and the Imperial Government of Iran for the use of funds received by the Government of the United States of America from the sale of surplus property in Iran,1039,601
Agreement between the Government of the United States of America and the Imperial Government of Iran for the use of funds received by the Government of the United States of America from the sale of surplus property in Iran,1039,602
"Exchange of notes constituting an agreement relating to visas.  Maseru, 21 January 1970",10390,603
